claim_file,display_order,measure,measure_id_w_display_order,measure_name,Measure_Type,claim_category,Active_Ind,decimal_places,Display_Type,measure_id,measure_cat,measure_major,measure_minor,z_display_order,display_suffix,z_display_order_suffix,decimal_places_int
EL,3,ALL13.5,ALL-13-003-5,% alien restricted benefits code status (RESTRICTED-BENEFITS-CODE = 2) with services that are not emergency room or pregnancy-related,Claims Percentage,"Medicaid FFS and Encounter: Original, Paid Claims",Y,2,Default,ALL13_5,ALL,13,5,003,,003,2
EL,1,ALL14.1,ALL-14-001-1,"% of MSIS IDs on crossover claim headers not enrolled as duals (QMB, QMB Plus, SLMB Plus, Other) on Admission Date",Claims Percentage,"Medicaid FFS and Encounter: Original and Adjustment, Crossover, Paid Claims",Y,2,Default,ALL14_1,ALL,14,1,001,,001,2
EL,2,ALL14.2,ALL-14-002-2,"% of MSIS IDs on crossover claim headers not enrolled as duals (QMB, QMB Plus, SLMB Plus, Other) on Beginning Date of Service",Claims Percentage,"Medicaid FFS and Encounter: Original and Adjustment, Crossover, Paid Claims",Y,2,Default,ALL14_2,ALL,14,2,002,,002,2
EL,3,ALL14.3,ALL-14-003-3,"% of MSIS IDs on crossover claim headers not enrolled as duals (QMB, QMB Plus, SLMB Plus, Other) on Beginning Date of Service",Claims Percentage,"Medicaid FFS and Encounter: Original and Adjustment, Crossover, Paid Claims",Y,2,Default,ALL14_3,ALL,14,3,003,,003,2
EL,4,ALL14.4,ALL-14-004-4,"% of MSIS IDs on crossover claim headers not enrolled as duals (QMB, QMB Plus, SLMB Plus, Other) on Prescription Fill Date",Claims Percentage,"Medicaid FFS and Encounter: Original and Adjustment, Crossover, Paid Claims",Y,2,Default,ALL14_4,ALL,14,4,004,,004,2
EL,5,ALL14.5,ALL-14-005-5,"% of MSIS IDs on crossover claim headers enrolled as premium only dual groups (SLMB, QI, QDWI) on Admission Date",Claims Percentage,"Medicaid FFS and Encounter: Original and Adjustment, Crossover, Paid Claims",Y,2,Default,ALL14_5,ALL,14,5,005,,005,2
EL,6,ALL14.6,ALL-14-006-6,"% of MSIS IDs on crossover claim headers enrolled as premium only dual groups (SLMB, QI, QDWI) on Beginning Date of Service",Claims Percentage,"Medicaid FFS and Encounter: Original and Adjustment, Crossover, Paid Claims",Y,2,Default,ALL14_6,ALL,14,6,006,,006,2
EL,7,ALL14.7,ALL-14-007-7,"% of MSIS IDs on crossover claim headers enrolled as premium only dual groups (SLMB, QI, QDWI) on Beginning Date of Service",Claims Percentage,"Medicaid FFS and Encounter: Original and Adjustment, Crossover, Paid Claims",Y,2,Default,ALL14_7,ALL,14,7,007,,007,2
EL,8,ALL14.8,ALL-14-008-8,"% of MSIS IDs on crossover claim headers enrolled as premium only dual groups (SLMB, QI, QDWI) on Prescription Fill Date",Claims Percentage,"Medicaid FFS and Encounter: Original and Adjustment, Crossover, Paid Claims",Y,2,Default,ALL14_8,ALL,14,8,008,,008,2
OT,1,ALL15.1,ALL-15-001-1,% of claim lines with non-missing Place of Service that have missing Procedure Code,Claims Percentage,"Medicaid and S-CHIP FFS and Encounter: Original and Adjustment, Paid Claims",Y,3,Default,ALL15_1,ALL,15,1,001,,001,3
OT,2,ALL15.2,ALL-15-002-2,% of claim lines with both Type of Bill and Place of Service non-missing,Claims Percentage,"Medicaid and S-CHIP FFS and Encounter: Original and Adjustment, Paid Claims",Y,3,Default,ALL15_2,ALL,15,2,002,,002,3
OT,3,ALL15.3,ALL-15-003-3,% of claim lines missing Type of Bill and Place of Service,Claims Percentage,"Medicaid and S-CHIP FFS and Encounter: Original and Adjustment, Paid Claims",Y,3,Default,ALL15_3,ALL,15,3,003,,003,3
OT,4,ALL15.4,ALL-15-004-4,% of claim lines with non-missing Type of Bill that have missing Revenue Code,Claims Percentage,"Medicaid and S-CHIP FFS and Encounter: Original and Adjustment, Paid Claims",Y,3,Default,ALL15_4,ALL,15,4,004,,004,3
OT,5,ALL15.5,ALL-15-005-5,% of claim lines with non-missing Revenue Code that have missing Type of Bill,Claims Percentage,"Medicaid and S-CHIP FFS and Encounter: Original and Adjustment, Paid Claims",Y,3,Default,ALL15_5,ALL,15,5,005,,005,3
OT,6,ALL15.6,ALL-15-006-6,% of claim lines missing Procedure Code and Revenue Code,Claims Percentage,"Medicaid and S-CHIP FFS and Encounter: Original and Adjustment, Paid Claims",Y,3,Default,ALL15_6,ALL,15,6,006,,006,3
IP,1,ALL16.1,ALL-16-001-1,% of claim header record segments missing ADJUDICATION-DATE (CIP00002),Claims Percentage,All Paid Claims,Y,3,Default,ALL16_1,ALL,16,1,001,,001,3
IP,2,ALL16.2,ALL-16-002-2,% of claim line record segments missing ADJUDICATION-DATE (CIP00003),Claims Percentage,All Paid Claims,Y,3,Default,ALL16_2,ALL,16,2,002,,002,3
LT,3,ALL16.3,ALL-16-003-3,% of claim header record segments missing ADJUDICATION-DATE (CLT00002),Claims Percentage,All Paid Claims,Y,3,Default,ALL16_3,ALL,16,3,003,,003,3
LT,4,ALL16.4,ALL-16-004-4,% of claim line record segments missing ADJUDICATION-DATE (CLT00003),Claims Percentage,All Paid Claims,Y,3,Default,ALL16_4,ALL,16,4,004,,004,3
OT,5,ALL16.5,ALL-16-005-5,% of claim header record segments missing ADJUDICATION-DATE (COT00002),Claims Percentage,All Paid Claims,Y,3,Default,ALL16_5,ALL,16,5,005,,005,3
OT,6,ALL16.6,ALL-16-006-6,% of claim line record segments missing ADJUDICATION-DATE (COT00003),Claims Percentage,All Paid Claims,Y,3,Default,ALL16_6,ALL,16,6,006,,006,3
RX,7,ALL16.7,ALL-16-007-7,% of claim header record segments missing ADJUDICATION-DATE (CRX00002),Claims Percentage,All Paid Claims,Y,3,Default,ALL16_7,ALL,16,7,007,,007,3
RX,8,ALL16.8,ALL-16-008-8,% of claim line record segments missing ADJUDICATION-DATE (CRX00003),Claims Percentage,All Paid Claims,Y,3,Default,ALL16_8,ALL,16,8,008,,008,3
IP,1,ALL17.1,ALL-17-001-1,% of claim headers that have no corresponding claim lines,Claims Percentage,All Paid Claims,Y,3,Default,ALL17_1,ALL,17,1,001,,001,3
LT,2,ALL17.2,ALL-17-002-2,% of claim headers that have no corresponding claim lines,Claims Percentage,All Paid Claims,Y,3,Default,ALL17_2,ALL,17,2,002,,002,3
OT,3,ALL17.3,ALL-17-003-3,% of claim headers that have no corresponding claim lines,Claims Percentage,All Paid Claims,Y,3,Default,ALL17_3,ALL,17,3,003,,003,3
RX,4,ALL17.4,ALL-17-004-4,% of claim headers that have no corresponding claim lines,Claims Percentage,All Paid Claims,Y,3,Default,ALL17_4,ALL,17,4,004,,004,3
IP,5,ALL17.5,ALL-17-005-5,% of claim lines that have no corresponding claim header,Claims Percentage,All Paid Claims,Y,3,Default,ALL17_5,ALL,17,5,005,,005,3
LT,6,ALL17.6,ALL-17-006-6,% of claim lines that have no corresponding claim header,Claims Percentage,All Paid Claims,Y,3,Default,ALL17_6,ALL,17,6,006,,006,3
OT,7,ALL17.7,ALL-17-007-7,% of claim lines that have no corresponding claim header,Claims Percentage,All Paid Claims,Y,3,Default,ALL17_7,ALL,17,7,007,,007,3
RX,8,ALL17.8,ALL-17-008-8,% of claim lines that have no corresponding claim header,Claims Percentage,All Paid Claims,Y,3,Default,ALL17_8,ALL,17,8,008,,008,3
IP,1,ALL18.1,ALL-18-001-1,"# of claim headers with TYPE-OF-CLAIM = U, V, W, X or Y that aren’t MFP (PROGRAM-TYPE = 08)",Count,All Paid Claims,Y,0,Default,ALL18_1,ALL,18,1,001,,001,0
LT,2,ALL18.2,ALL-18-002-2,"# of claim headers with TYPE-OF-CLAIM = U, V, W, X or Y that aren’t MFP (PROGRAM-TYPE = 08)",Count,All Paid Claims,Y,0,Default,ALL18_2,ALL,18,2,002,,002,0
OT,3,ALL18.3,ALL-18-003-3,"# of claim headers with TYPE-OF-CLAIM = U, V, W, X or Y that aren’t MFP (PROGRAM-TYPE = 08)",Count,All Paid Claims,Y,0,Default,ALL18_3,ALL,18,3,003,,003,0
RX,4,ALL18.4,ALL-18-004-4,"# of claim headers with TYPE-OF-CLAIM = U, V, W, X or Y that aren’t MFP (PROGRAM-TYPE = 08)",Count,All Paid Claims,Y,0,Default,ALL18_4,ALL,18,4,004,,004,0
OT,1,ALL19.1,ALL-19-001-1,% of claim headers with HCBS-SERVICE-CODE = 4 that are missing Waiver ID,Claims Percentage,"Medicaid and S-CHIP FFS and Encounter: Original and Adjustment, Paid Claims",Y,3,Default,ALL19_1,ALL,19,1,001,,001,3
IP,1,ALL20.1,ALL-20-001-1,% of claim lines with both XIX and XXI MBESCBES Category of Service,Claims Percentage,"Medicaid and S-CHIP FFS: Original and Replacement, Paid Claims",Y,3,Default,ALL20_1,ALL,20,1,001,,001,3
LT,2,ALL20.2,ALL-20-002-2,% of claim lines with both XIX and XXI MBESCBES Category of Service,Claims Percentage,"Medicaid and S-CHIP FFS: Original and Replacement, Paid Claims",Y,3,Default,ALL20_2,ALL,20,2,002,,002,3
OT,3,ALL20.3,ALL-20-003-3,% of claim lines with both XIX and XXI MBESCBES Category of Service,Claims Percentage,"Medicaid and S-CHIP FFS: Original and Replacement, Paid Claims",Y,3,Default,ALL20_3,ALL,20,3,003,,003,3
RX,4,ALL20.4,ALL-20-004-4,% of claim lines with both XIX and XXI MBESCBES Category of Service,Claims Percentage,"Medicaid and S-CHIP FFS: Original and Replacement, Paid Claims",Y,3,Default,ALL20_4,ALL,20,4,004,,004,3
OT,1,ALL2.1,ALL-2-001-1,# of unique HCBS Taxonomy valid values reported,Count,"Medicaid FFS and Encounter: Original, Non-Crossover, Paid Claims",Y,0,Default,ALL2_1,ALL,2,1,001,,001,0
EL,2,ALL2.2,ALL-2-002-2,% of MSIS IDs in Community First Choice (STATE-PLAN-OPTION-TYPE = '01') during the reporting period with any claim lines,Claims Percentage,"Medicaid FFS and Encounter: Original, Non-Crossover, Paid Claims",Y,2,Default,ALL2_2,ALL,2,2,002,,002,2
OT,3,ALL2.3,ALL-2-003-3,% of active 1915(i) MSIS IDs (STATE-PLAN-OPTION-TYPE = '02') during the reporting period with any claim lines,Claims Percentage,"Medicaid FFS and Encounter: Original, Non-Crossover, Paid Claims",Y,2,Default,ALL2_3,ALL,2,3,003,,003,2
EL,4,ALL2.4,ALL-2-004-4,% of active 1915(i) MSIS IDs (STATE-PLAN-OPTION-TYPE = '02') during the reporting period with 1915(i) claim lines (HCBS-SERVICE-CODE = '1'),Claims Percentage,"Medicaid FFS and Encounter: Original, Non-Crossover, Paid Claims",Y,2,Default,ALL2_4,ALL,2,4,004,,004,2
OT,5,ALL2.5,ALL-2-005-5,% of active 1915(j) MSIS IDs (STATE-PLAN-OPTION-TYPE = '03') during the reporting period with any claim lines,Claims Percentage,"Medicaid FFS and Encounter: Original, Non-Crossover, Paid Claims",Y,2,Default,ALL2_5,ALL,2,5,005,,005,2
EL,6,ALL2.6,ALL-2-006-6,% of active 1915(j) MSIS IDs (STATE-PLAN-OPTION-TYPE = '03') during the reporting period with 1915(j) claim lines (HCBS-SERVICE-CODE = '2'),Claims Percentage,"Medicaid FFS and Encounter: Original, Non-Crossover, Paid Claims",Y,2,Default,ALL2_6,ALL,2,6,006,,006,2
EL,9,ALL2.9,ALL-2-009-9,% of 1915(c) waiver enrollees (WAIVER-TYPE = 06 - 20 or 33) that do not have any claim headers with the corresponding waiver ID,Claims Percentage,"Medicaid FFS and Encounter: Original, Paid Claims",Y,2,Default,ALL2_9,ALL,2,9,009,,009,2
EL,10,ALL2.10,ALL-2-010-10,% of 1915(c) waiver enrollees (WAIVER-TYPE = 06 - 20 or 33) that do not have any claim headers with PROGRAM-TYPE = 07,Claims Percentage,"Medicaid FFS and Encounter: Original, Paid Claims",Y,2,Default,ALL2_10,ALL,2,10,010,,010,2
EL,11,ALL2.11,ALL-2-011-11,% of 1915(c) waiver enrollees (WAIVER-TYPE = 06 - 20 or 33) that do not have any claim headers with HCBS-SERVICE-CODE = 4,Claims Percentage,"Medicaid FFS and Encounter: Original, Paid Claims",Y,2,Default,ALL2_11,ALL,2,11,011,,011,2
PRV,1,ALL21.1,ALL-21-001-1,"% of BILLING-PROV-NUM on claim headers that do not have a match in PRV00007 with active provider enrollment status (PROV-MEDICAID-ENROLLMENT-STATUS-CODE in (1, 2, 3, 4, 5, 6) on Admission Date",Claims Percentage,"Medicaid and S-CHIP FFS and Encounter: Original and Adjustment, Paid Claims",Y,2,Default,ALL21_1,ALL,21,1,001,,001,2
PRV,2,ALL21.2,ALL-21-002-2,"% of BILLING-PROV-NUM on claim headers that do not have a match in PRV00007 with active provider enrollment status (PROV-MEDICAID-ENROLLMENT-STATUS-CODE in (1, 2, 3, 4, 5, 6) on Beginning Date of Service",Claims Percentage,"Medicaid and S-CHIP FFS and Encounter: Original and Adjustment, Paid Claims",Y,2,Default,ALL21_2,ALL,21,2,002,,002,2
PRV,3,ALL21.3,ALL-21-003-3,"% of BILLING-PROV-NUM on claim headers that do not have a match in PRV00007 with active provider enrollment status (PROV-MEDICAID-ENROLLMENT-STATUS-CODE in (1, 2, 3, 4, 5, 6) on Beginning Date of Service",Claims Percentage,"Medicaid and S-CHIP FFS and Encounter: Original and Adjustment, Paid Claims",Y,2,Default,ALL21_3,ALL,21,3,003,,003,2
PRV,4,ALL21.4,ALL-21-004-4,"% of BILLING-PROV-NUM on claim headers that do not have a match in PRV00007 with active provider enrollment status (PROV-MEDICAID-ENROLLMENT-STATUS-CODE in (1, 2, 3, 4, 5, 6) on Prescription Fill Date",Claims Percentage,"Medicaid and S-CHIP FFS and Encounter: Original and Adjustment, Paid Claims",Y,2,Default,ALL21_4,ALL,21,4,004,,004,2
PRV,5,ALL21.5,ALL-21-005-5,"% of SERVICING-PROV-NUM on claim lines that do not have a match in PRV00007 with active provider enrollment status (PROV-MEDICAID-ENROLLMENT-STATUS-CODE in (1, 2, 3, 4, 5, 6) on Beginning Date of Service",Claims Percentage,"Medicaid and S-CHIP FFS and Encounter: Original and Adjustment, Paid Claims",Y,2,Default,ALL21_5,ALL,21,5,005,,005,2
PRV,6,ALL21.6,ALL-21-006-6,"% of SERVICING-PROV-NUM on claim lines that do not have a match in PRV00007 with active provider enrollment status (PROV-MEDICAID-ENROLLMENT-STATUS-CODE in (1, 2, 3, 4, 5, 6) on Beginning Date of Service",Claims Percentage,"Medicaid and S-CHIP FFS and Encounter: Original and Adjustment, Paid Claims",Y,2,Default,ALL21_6,ALL,21,6,006,,006,2
PRV,7,ALL21.7,ALL-21-007-7,"% of SERVICING-PROV-NUM on claim lines that do not have a match in PRV00007 with active provider enrollment status (PROV-MEDICAID-ENROLLMENT-STATUS-CODE in (1, 2, 3, 4, 5, 6) on Beginning Date of Service",Claims Percentage,"Medicaid and S-CHIP FFS and Encounter: Original and Adjustment, Paid Claims",Y,2,Default,ALL21_7,ALL,21,7,007,,007,2
PRV,8,ALL21.8,ALL-21-008-8,"% of DISPENSING-PRESCRIPTION-DRUG-PROV-NUM on claim headers that do not have a match in PRV00007 with active provider enrollment status (PROV-MEDICAID-ENROLLMENT-STATUS-CODE in (1, 2, 3, 4, 5, 6) on Prescription Fill Date",Claims Percentage,"Medicaid and S-CHIP FFS and Encounter: Original and Adjustment, Paid Claims",Y,2,Default,ALL21_8,ALL,21,8,008,,008,2
IP,1,ALL22.1,ALL-22-001-1,Type of Claim values,Frequency,All paid claims,Y,0,Frequency,ALL22_1,ALL,22,1,001,,001,0
LT,1,ALL23.1,ALL-23-001-1,Type of Claim values,Frequency,All paid claims,Y,0,Frequency,ALL23_1,ALL,23,1,001,,001,0
OT,1,ALL24.1,ALL-24-001-1,Type of Claim values,Frequency,All paid claims,Y,0,Frequency,ALL24_1,ALL,24,1,001,,001,0
RX,1,ALL25.1,ALL-25-001-1,Type of Claim values,Frequency,All paid claims,Y,0,Frequency,ALL25_1,ALL,25,1,001,,001,0
IP,1,ALL26.1,ALL-26-001-1,% of claim headers with PAYMENT-LEVEL-IND = 1,Claims Percentage,"Medicaid and S-CHIP FFS and Encounter: Original and Adjustment, Paid Claims",Y,2,Default,ALL26_1,ALL,26,1,001,,001,2
LT,2,ALL26.2,ALL-26-002-2,% of claim headers with PAYMENT-LEVEL-IND = 1,Claims Percentage,"Medicaid and S-CHIP FFS and Encounter: Original and Adjustment, Paid Claims",Y,2,Default,ALL26_2,ALL,26,2,002,,002,2
OT,3,ALL26.3,ALL-26-003-3,% of claim headers with PAYMENT-LEVEL-IND = 1,Claims Percentage,"Medicaid and S-CHIP FFS and Encounter: Original and Adjustment, Paid Claims",Y,2,Default,ALL26_3,ALL,26,3,003,,003,2
RX,4,ALL26.4,ALL-26-004-4,% of claim headers with PAYMENT-LEVEL-IND = 1,Claims Percentage,"Medicaid and S-CHIP FFS and Encounter: Original and Adjustment, Paid Claims",Y,2,Default,ALL26_4,ALL,26,4,004,,004,2
OT,1,ALL27.1,ALL-27-001-1,# of Medicaid service tracking claim headers (TYPE-OF-CLAIM = 4),Count,All Paid Claims,Y,0,Default,ALL27_1,ALL,27,1,001,,001,0
OT,2,ALL27.2,ALL-27-002-2,# of Medicaid supplemental claim headers (TYPE-OF-CLAIM = 5),Count,All Paid Claims,Y,0,Default,ALL27_2,ALL,27,2,002,,002,0
IP,1,ALL28.1,ALL-28-001-1,Type of Service values,Frequency,"Medicaid and S-CHIP FFS and Encounter: Original and Adjustment, Paid Claims",Y,0,Frequency,ALL28_1,ALL,28,1,001,,001,0
LT,1,ALL29.1,ALL-29-001-1,Type of Service values,Frequency,"Medicaid and S-CHIP FFS and Encounter: Original and Adjustment, Paid Claims",Y,0,Frequency,ALL29_1,ALL,29,1,001,,001,0
OT,1,ALL30.1,ALL-30-001-1,Type of Service values,Frequency,"Medicaid and S-CHIP FFS and Encounter: Original and Adjustment, Paid Claims",Y,0,Frequency,ALL30_1,ALL,30,1,001,,001,0
IP,1,ALL3.1,ALL-3-001-1,% of claim headers with Benefit Type values representing institutional-only non-Long-Term Care benefit (See DD Appendix H),Claims Percentage,All Paid Claims,Y,2,Default,ALL3_1,ALL,3,1,001,,001,2
RX,1,ALL31.1,ALL-31-001-1,Type of Service values,Frequency,"Medicaid and S-CHIP FFS and Encounter: Original and Adjustment, Paid Claims",Y,0,Frequency,ALL31_1,ALL,31,1,001,,001,0
Multiple files,1,ALL32.1,ALL-32-001-1,Type of Bill values,Frequency,"Medicaid and S-CHIP FFS and Encounter: Original and Adjustment, Paid Claims",Y,0,Frequency,ALL32_1,ALL,32,1,001,,001,0
Multiple files,1,ALL33.1,ALL-33-001-1,Billing Provider Taxonomy values,Frequency,"Medicaid and S-CHIP FFS and Encounter: Original and Adjustment, Paid Claims",Y,0,Frequency,ALL33_1,ALL,33,1,001,,001,0
OT,1,ALL34.1,ALL-34-001-1,% of claim lines with non-missing HCBS Service Code that have missing HCBS Taxonomy,Claims Percentage,"Medicaid FFS and Encounter: Original and Replacement, Paid Claims",Y,2,Default,ALL34_1,ALL,34,1,001,,001,2
OT,2,ALL34.2,ALL-34-002-2,% of claim lines with non-missing Procedure Code and either HCBS Service Code or HCBS Taxonomy that have a Procedure Code format that indicates a CPT or CDT code,Claims Percentage,"Medicaid FFS and Encounter: Original and Replacement, Paid Claims",Y,2,Default,ALL34_2,ALL,34,2,002,,002,2
OT,1,ALL35.1,ALL-35-001-1,"% of claim lines with a Procedure Code indicating a sealant, filling, or root canal that are missing Tooth Number",Claims Percentage,"Medicaid FFS and Encounter: Original and Replacement, Paid Claims",Y,2,Default,ALL35_1,ALL,35,1,001,,001,2
OT,2,ALL35.2,ALL-35-002-2,"% of claim lines with a Procedure Code indicating a sealant, filling, or root canal that are missing Tooth Number",Claims Percentage,"S-CHIP FFS and Encounter: Original and Replacement, Paid Claims",Y,2,Default,ALL35_2,ALL,35,2,002,,002,2
OT,3,ALL35.3,ALL-35-003-3,% of claim lines with non-missing Tooth Number that do not have a Procedure Code format that indicates a CDT code,Claims Percentage,"Medicaid FFS and Encounter: Original and Replacement, Paid Claims",Y,2,Default,ALL35_3,ALL,35,3,003,,003,2
OT,4,ALL35.4,ALL-35-004-4,% of claim lines with non-missing Tooth Number that do not have a Procedure Code format that indicates a CDT code,Claims Percentage,"S-CHIP FFS and Encounter: Original and Replacement, Paid Claims",Y,2,Default,ALL35_4,ALL,35,4,004,,004,2
Multiple,1,ALL36.1,ALL-36-001-1,"# of service tracking claim lines with TYPE-OF-SERVICE = 123 (DSH), 131 (Drug Rebates), 135 (EHR)",Count,"Medicaid and S-CHIP Service Tracking: Non-void, Paid Claims",Y,0,Default,ALL36_1,ALL,36,1,001,,001,0
PRV,1,ALL4.1,ALL-4-001-1,% of billing and servicing provider numbers on claims that are not found in the provider file,Claims percentage,All Paid Claims,Y,2,Default,ALL4_1,ALL,4,1,001,,001,2
PRV,2,ALL4.2,ALL-4-002-2,% of billing and servicing provider numbers on claims that are not found in the provider file,Claims percentage,All Paid Claims,Y,2,Default,ALL4_2,ALL,4,2,002,,002,2
PRV,3,ALL4.3,ALL-4-003-3,% of billing and servicing provider numbers on claims that are not found in the provider file,Claims percentage,All Paid Claims,Y,2,Default,ALL4_3,ALL,4,3,003,,003,2
PRV,4,ALL4.4,ALL-4-004-4,% of billing and dispensing provider numbers on claims that are not found in the provider file,Claims percentage,All Paid Claims,Y,2,Default,ALL4_4,ALL,4,4,004,,004,2
IP,1,ALL5.1,ALL-5-001-1,% of duplicate claim headers,Duplicate percentage,All Paid Claims,Y,3,Default,ALL5_1,ALL,5,1,001,,001,3
LT,2,ALL5.2,ALL-5-002-2,% of duplicate claim headers,Duplicate percentage,All Paid Claims,Y,3,Default,ALL5_2,ALL,5,2,002,,002,3
OT,3,ALL5.3,ALL-5-003-3,% of duplicate claim headers,Duplicate percentage,All Paid Claims,Y,3,Default,ALL5_3,ALL,5,3,003,,003,3
RX,4,ALL5.4,ALL-5-004-4,% of duplicate claim headers,Duplicate percentage,All Paid Claims,Y,3,Default,ALL5_4,ALL,5,4,004,,004,3
IP,5,ALL5.5,ALL-5-005-5,% of duplicate claim lines,Duplicate percentage,All Paid Claims,Y,3,Default,ALL5_5,ALL,5,5,005,,005,3
LT,6,ALL5.6,ALL-5-006-6,% of duplicate claim lines,Duplicate percentage,All Paid Claims,Y,3,Default,ALL5_6,ALL,5,6,006,,006,3
OT,7,ALL5.7,ALL-5-007-7,% of duplicate claim lines,Duplicate percentage,All Paid Claims,Y,3,Default,ALL5_7,ALL,5,7,007,,007,3
