Code,Type,Definition
74713,CPT,"Magnetic resonance (e.g., proton) imaging, fetal, including placental and maternal pelvic imaging when performed; each additional gestation (list separately in addition to code for primary procedure)"
76801,CPT,"Ultrasound, pregnant uterus, real time with image documentation, fetal and maternal evaluation, first trimester (<14 weeks 0 days), transabdominal approach; single or first gestation"
76802,CPT,"Ultrasound, pregnant uterus, real time with image documentation, fetal and maternal evaluation, first trimester (<14 weeks 0 days), transabdominal approach; each additional gestation (list separately in addition to code for primary procedure)"
76805,CPT,"Ultrasound, pregnant uterus, real time with image documentation, fetal and maternal evaluation, after first trimester (>14 weeks 0 days), transabdominal approach; single or first gestation"
76810,CPT,"Ultrasound, pregnant uterus, real time with image documentation, fetal and maternal evaluation, after first trimester (>14 weeks 0 days), transabdominal approach; each additional gestation (list separately in addition to code for primary procedure)"
76811,CPT,"Ultrasound, pregnant uterus, real time with image documentation, fetal and maternal evaluation plus detailed fetal anatomic examination, transabdominal approach; single or first gestation"
76812,CPT,"Ultrasound, pregnant uterus, real time with image documentation, fetal and maternal evaluation plus detailed fetal anatomic examination, transabdominal approach; each additional gestation (list separately in addition to code for primary procedure)"
76813,CPT,"Ultrasound, pregnant uterus, first trimester fetal nuchal translucency measurement, transabdominal or transvaginal approach; single or first gestation"
76814,CPT,"Ultrasound, pregnant uterus, first trimester fetal nuchal translucency measurement, transabdominal or transvaginal approach;  each additional gestation (list separately in addition to code for primary procedure)"
76815,CPT,"Ultrasound, pregnant uterus, real time with image documentation, limited (eg, fetal heart beat, placental location, fetal position and/or qualitative amniotic fluid volume), 1 or more fetuses"
76816,CPT,"Ultrasound, pregnant uterus, real time with image documentation, follow-up (eg, re-evaluation of fetal size by measuring standard growth parameters and amniotic fluid volume, re-evaluation of organ system(s) suspected or confirmed to be abnormal on a previous scan), transabdominal approach, per fetus"
76817,CPT,"Ultrasound, pregnant uterus, real time with image documentation, transvaginal"
76818,CPT,Fetal biophysical profile; with non-stress testing
76819,CPT,Fetal biophysical profile; without non-stress testing
76820,CPT,"Doppler velocimetry, fetal; umbilical artery"
76821,CPT,"Doppler velocimetry, fetal; middle cerebral artery"
76825,CPT,"Echocardiography, fetal, cardiovascular system, real time with image documentation (2D), with or without M-mode recording"
76826,CPT,"Echocardiography, fetal, cardiovascular system, real time with image documentation (2D), with or without M-mode recording; follow-up or repeat study"
76827,CPT,"Doppler echocardiography, fetal, pulsed wave and/or continuous wave with spectral display; complete"
76828,CPT,"Doppler echocardiography, fetal, pulsed wave and/or continuous wave with spectral display; follow-up or repeat study"
80055,CPT,Obstetrical panel
80081,CPT,Obstetric panel with HIV 
81420,CPT,"Fetal chromosomal aneuploidy (e.g., trisomy 21, monosomy X) genomic sequence analysis
panel, circulating cell-free fetal DNA in maternal blood, must include analysis of
chromosomes 13, 18, and 21"
81507,CPT,"Fetal aneuploidy (Trisomy 21,18, and 13) DNA sequence analysis of selected regions using maternal plasma, algorithm reported as a risk score for each trisomy"
99464,CPT,Attendance at delivery (when required by the delivering physician or other qualified health care professional) and initial stabilization of newborn
99500,CPT,"Home visit for prenatal monitoring and assessment to include fetal heart rate, non-stress test, uterine monitoring, and gestational diabetes monitoring"
0500F,CPT,"Initial prenatal care visit (report at first prenatal encounter with health care professional providing obstetrical care. Report also date of visit and, in a separate field, the date of the last menstrual period)"
0501F,CPT,"Prenatal flow sheet documented in medical record by first prenatal visit (documentation includes at minimum blood pressure, weight, urine protein, uterine size, fetal heart tones, and estimate date of delivery). Report also: Date of visit and, in a separate field, the date of the last menstrual period"
0502F,CPT,"Subsequent prenatal care visit (Excludes: patients who are seen for a condition unrelated to pregnancy or prenatal care (eg, an upper respiratory infection; patients seen for consultation only, not for continuing care)"
H1000,HCPCS Level II,"Prenatal care, at-risk assessment "
H1001,HCPCS Level II,"Prenatal care, at-risk enhanced service; antepartum management "
H1002,HCPCS Level II,"Prenatal care, at risk enhanced service; care coordination"
H1003,HCPCS Level II,"Prenatal care, at-risk enhanced service; education "
H1004,HCPCS Level II,"Prenatal care, at-risk enhanced service; follow-up home visit "
H1005,HCPCS Level II,"Prenatal care, at-risk enhanced service package (includes H1001-H1004) "
O0000,ICD-10-CM,Abdominal pregnancy without intrauterine pregnancy
O0001,ICD-10-CM,Abdominal pregnancy with intrauterine pregnancy
O0010,ICD-10-CM,Tubal pregnancy without intrauterine pregnancy
O0011,ICD-10-CM,Tubal pregnancy with intrauterine pregnancy
O0020,ICD-10-CM,Ovarian pregnancy without intrauterine pregnancy
O0021,ICD-10-CM,Ovarian pregnancy with intrauterine pregnancy
O0080,ICD-10-CM,Other ectopic pregnancy without intrauterine pregnancy
O0081,ICD-10-CM,Other ectopic pregnancy with intrauterine pregnancy
O0090,ICD-10-CM,Unspecified ectopic pregnancy without intrauterine pregnancy
O0091,ICD-10-CM,Unspecified ectopic pregnancy with intrauterine pregnancy
O010,ICD-10-CM,Classical hydatidiform mole
O011,ICD-10-CM,Incomplete and partial hydatidiform mole
O019,ICD-10-CM,"Hydatidiform mole, unspecified"
O020,ICD-10-CM,Blighted ovum and nonhydatidiform mole
O021,ICD-10-CM,Missed abortion
O0281,ICD-10-CM,Inappropriate change in quantitative human chorionic gonadotropin (hCG) in early pregnancy
O0289,ICD-10-CM,Other abnormal products of conception
O029,ICD-10-CM,"Abnormal product of conception, unspecified"
O030,ICD-10-CM,Genital tract and pelvic infection following incomplete spontaneous abortion
O031,ICD-10-CM,Delayed or excessive hemorrhage following incomplete spontaneous abortion
O032,ICD-10-CM,Embolism following incomplete spontaneous abortion
O0330,ICD-10-CM,Unspecified complication following incomplete spontaneous abortion
O0331,ICD-10-CM,Shock following incomplete spontaneous abortion
O0332,ICD-10-CM,Renal failure following incomplete spontaneous abortion
O0333,ICD-10-CM,Metabolic disorder following incomplete spontaneous abortion
O0334,ICD-10-CM,Damage to pelvic organs following incomplete spontaneous abortion
O0335,ICD-10-CM,Other venous complications following incomplete spontaneous abortion
O0336,ICD-10-CM,Cardiac arrest following incomplete spontaneous abortion
O0337,ICD-10-CM,Sepsis following incomplete spontaneous abortion
O0338,ICD-10-CM,Urinary tract infection following incomplete spontaneous abortion
O0339,ICD-10-CM,Incomplete spontaneous abortion with other complications
O034,ICD-10-CM,Incomplete spontaneous abortion without complication
O035,ICD-10-CM,Genital tract and pelvic infection following complete or unspecified spontaneous abortion
O036,ICD-10-CM,Delayed or excessive hemorrhage following complete or unspecified spontaneous abortion
O037,ICD-10-CM,Embolism following complete or unspecified spontaneous abortion
O0380,ICD-10-CM,Unspecified complication following complete or unspecified spontaneous abortion
O0381,ICD-10-CM,Shock following complete or unspecified spontaneous abortion
O0382,ICD-10-CM,Renal failure following complete or unspecified spontaneous abortion
O0383,ICD-10-CM,Metabolic disorder following complete or unspecified spontaneous abortion
O0384,ICD-10-CM,Damage to pelvic organs following complete or unspecified spontaneous abortion
O0385,ICD-10-CM,Other venous complications following complete or unspecified spontaneous abortion
O0386,ICD-10-CM,Cardiac arrest following complete or unspecified spontaneous abortion
O0387,ICD-10-CM,Sepsis following complete or unspecified spontaneous abortion
O0388,ICD-10-CM,Urinary tract infection following complete or unspecified spontaneous abortion
O0389,ICD-10-CM,Complete or unspecified spontaneous abortion with other complications
O039,ICD-10-CM,Complete or unspecified spontaneous abortion without complication
O045,ICD-10-CM,Genital tract and pelvic infection following (induced) termination of pregnancy
O046,ICD-10-CM,Delayed or excessive hemorrhage following (induced) termination of pregnancy
O047,ICD-10-CM,Embolism following (induced) termination of pregnancy
O0480,ICD-10-CM,(Induced) termination of pregnancy with unspecified complications
O0481,ICD-10-CM,Shock following (induced) termination of pregnancy
O0482,ICD-10-CM,Renal failure following (induced) termination of pregnancy
O0483,ICD-10-CM,Metabolic disorder following (induced) termination of pregnancy
O0484,ICD-10-CM,Damage to pelvic organs following (induced) termination of pregnancy
O0485,ICD-10-CM,Other venous complications following (induced) termination of pregnancy
O0486,ICD-10-CM,Cardiac arrest following (induced) termination of pregnancy
O0487,ICD-10-CM,Sepsis following (induced) termination of pregnancy
O0488,ICD-10-CM,Urinary tract infection following (induced) termination of pregnancy
O0489,ICD-10-CM,(Induced) termination of pregnancy with other complications
O070,ICD-10-CM,Genital tract and pelvic infection following failed attempted termination of pregnancy
O071,ICD-10-CM,Delayed or excessive hemorrhage following failed attempted termination of pregnancy
O072,ICD-10-CM,Embolism following failed attempted termination of pregnancy
O0730,ICD-10-CM,Failed attempted termination of pregnancy with unspecified complications
O0731,ICD-10-CM,Shock following failed attempted termination of pregnancy
O0732,ICD-10-CM,Renal failure following failed attempted termination of pregnancy
O0733,ICD-10-CM,Metabolic disorder following failed attempted termination of pregnancy
O0734,ICD-10-CM,Damage to pelvic organs following failed attempted termination of pregnancy
O0735,ICD-10-CM,Other venous complications following failed attempted termination of pregnancy
O0736,ICD-10-CM,Cardiac arrest following failed attempted termination of pregnancy
O0737,ICD-10-CM,Sepsis following failed attempted termination of pregnancy
O0738,ICD-10-CM,Urinary tract infection following failed attempted termination of pregnancy
O0739,ICD-10-CM,Failed attempted termination of pregnancy with other complications
O074,ICD-10-CM,Failed attempted termination of pregnancy without complication
O080,ICD-10-CM,Genital tract and pelvic infection following ectopic and molar pregnancy
O081,ICD-10-CM,Delayed or excessive hemorrhage following ectopic and molar pregnancy
O082,ICD-10-CM,Embolism following ectopic and molar pregnancy
O083,ICD-10-CM,Shock following ectopic and molar pregnancy
O084,ICD-10-CM,Renal failure following ectopic and molar pregnancy
O085,ICD-10-CM,Metabolic disorders following an ectopic and molar pregnancy
O086,ICD-10-CM,Damage to pelvic organs and tissues following an ectopic and molar pregnancy
O087,ICD-10-CM,Other venous complications following an ectopic and molar pregnancy
O0881,ICD-10-CM,Cardiac arrest following an ectopic and molar pregnancy
O0882,ICD-10-CM,Sepsis following ectopic and molar pregnancy
O0883,ICD-10-CM,Urinary tract infection following an ectopic and molar pregnancy
O0889,ICD-10-CM,Other complications following an ectopic and molar pregnancy
O089,ICD-10-CM,Unspecified complication following an ectopic and molar pregnancy
O0900,ICD-10-CM,"Supervision of pregnancy with history of infertility, unspecified trimester"
O0901,ICD-10-CM,"Supervision of pregnancy with history of infertility, first trimester"
O0902,ICD-10-CM,"Supervision of pregnancy with history of infertility, second trimester"
O0903,ICD-10-CM,"Supervision of pregnancy with history of infertility, third trimester"
O0910,ICD-10-CM,"Supervision of pregnancy with history of ectopic pregnancy, unspecified trimester"
O0911,ICD-10-CM,"Supervision of pregnancy with history of ectopic pregnancy, first trimester"
O0912,ICD-10-CM,"Supervision of pregnancy with history of ectopic pregnancy, second trimester"
O0913,ICD-10-CM,"Supervision of pregnancy with history of ectopic pregnancy, third trimester"
O09211,ICD-10-CM,"Supervision of pregnancy with history of pre-term labor, first trimester"
O09212,ICD-10-CM,"Supervision of pregnancy with history of pre-term labor, second trimester"
O09213,ICD-10-CM,"Supervision of pregnancy with history of pre-term labor, third trimester"
O09219,ICD-10-CM,"Supervision of pregnancy with history of pre-term labor, unspecified trimester"
O09291,ICD-10-CM,"Supervision of pregnancy with other poor reproductive or obstetric history, first trimester"
O09292,ICD-10-CM,"Supervision of pregnancy with other poor reproductive or obstetric history, second trimester"
O09293,ICD-10-CM,"Supervision of pregnancy with other poor reproductive or obstetric history, third trimester"
O09299,ICD-10-CM,"Supervision of pregnancy with other poor reproductive or obstetric history, unspecified trimester"
O0930,ICD-10-CM,"Supervision of pregnancy with insufficient antenatal care, unspecified trimester"
O0931,ICD-10-CM,"Supervision of pregnancy with insufficient antenatal care, first trimester"
O0932,ICD-10-CM,"Supervision of pregnancy with insufficient antenatal care, second trimester"
O0933,ICD-10-CM,"Supervision of pregnancy with insufficient antenatal care, third trimester"
O0940,ICD-10-CM,"Supervision of pregnancy with grand multiparity, unspecified trimester"
O0941,ICD-10-CM,"Supervision of pregnancy with grand multiparity, first trimester"
O0942,ICD-10-CM,"Supervision of pregnancy with grand multiparity, second trimester"
O0943,ICD-10-CM,"Supervision of pregnancy with grand multiparity, third trimester"
O09511,ICD-10-CM,"Supervision of elderly primigravida, first trimester"
O09512,ICD-10-CM,"Supervision of elderly primigravida, second trimester"
O09513,ICD-10-CM,"Supervision of elderly primigravida, third trimester"
O09519,ICD-10-CM,"Supervision of elderly primigravida, unspecified trimester"
O09521,ICD-10-CM,"Supervision of elderly multigravida, first trimester"
O09522,ICD-10-CM,"Supervision of elderly multigravida, second trimester"
O09523,ICD-10-CM,"Supervision of elderly multigravida, third trimester"
O09529,ICD-10-CM,"Supervision of elderly multigravida, unspecified trimester"
O09611,ICD-10-CM,"Supervision of young primigravida, first trimester"
O09612,ICD-10-CM,"Supervision of young primigravida, second trimester"
O09613,ICD-10-CM,"Supervision of young primigravida, third trimester"
O09619,ICD-10-CM,"Supervision of young primigravida, unspecified trimester"
O09621,ICD-10-CM,"Supervision of young multigravida, first trimester"
O09622,ICD-10-CM,"Supervision of young multigravida, second trimester"
O09623,ICD-10-CM,"Supervision of young multigravida, third trimester"
O09629,ICD-10-CM,"Supervision of young multigravida, unspecified trimester"
O0970,ICD-10-CM,"Supervision of high risk pregnancy due to social problems, unspecified trimester"
O0971,ICD-10-CM,"Supervision of high risk pregnancy due to social problems, first trimester"
O0972,ICD-10-CM,"Supervision of high risk pregnancy due to social problems, second trimester"
O0973,ICD-10-CM,"Supervision of high risk pregnancy due to social problems, third trimester"
O09811,ICD-10-CM,"Supervision of pregnancy resulting from assisted reproductive technology, first trimester"
O09812,ICD-10-CM,"Supervision of pregnancy resulting from assisted reproductive technology, second trimester"
O09813,ICD-10-CM,"Supervision of pregnancy resulting from assisted reproductive technology, third trimester"
O09819,ICD-10-CM,"Supervision of pregnancy resulting from assisted reproductive technology, unspecified trimester"
O09821,ICD-10-CM,"Supervision of pregnancy with history of in utero procedure during previous pregnancy, first trimester"
O09822,ICD-10-CM,"Supervision of pregnancy with history of in utero procedure during previous pregnancy, second trimester"
O09823,ICD-10-CM,"Supervision of pregnancy with history of in utero procedure during previous pregnancy, third trimester"
O09829,ICD-10-CM,"Supervision of pregnancy with history of in utero procedure during previous pregnancy, unspecified trimester"
O09891,ICD-10-CM,"Supervision of other high risk pregnancies, first trimester"
O09892,ICD-10-CM,"Supervision of other high risk pregnancies, second trimester"
O09893,ICD-10-CM,"Supervision of other high risk pregnancies, third trimester"
O09899,ICD-10-CM,"Supervision of other high risk pregnancies, unspecified trimester"
O0990,ICD-10-CM,"Supervision of high risk pregnancy, unspecified, unspecified trimester"
O0991,ICD-10-CM,"Supervision of high risk pregnancy, unspecified, first trimester"
O0992,ICD-10-CM,"Supervision of high risk pregnancy, unspecified, second trimester"
O0993,ICD-10-CM,"Supervision of high risk pregnancy, unspecified, third trimester"
O09A0,ICD-10-CM,"Supervision of pregnancy with history of molar pregnancy, unspecified trimester"
O09A1,ICD-10-CM,"Supervision of pregnancy with history of molar pregnancy, first trimester"
O09A2,ICD-10-CM,"Supervision of pregnancy with history of molar pregnancy, second trimester"
O09A3,ICD-10-CM,"Supervision of pregnancy with history of molar pregnancy, third trimester"
O10011,ICD-10-CM,"Pre-existing essential hypertension complicating pregnancy, first trimester"
O10012,ICD-10-CM,"Pre-existing essential hypertension complicating pregnancy, second trimester"
O10013,ICD-10-CM,"Pre-existing essential hypertension complicating pregnancy, third trimester"
O10019,ICD-10-CM,"Pre-existing essential hypertension complicating pregnancy, unspecified trimester"
O1002,ICD-10-CM,Pre-existing essential hypertension complicating childbirth
O1003,ICD-10-CM,Pre-existing essential hypertension complicating the puerperium
O10111,ICD-10-CM,"Pre-existing hypertensive heart disease complicating pregnancy, first trimester"
O10112,ICD-10-CM,"Pre-existing hypertensive heart disease complicating pregnancy, second trimester"
O10113,ICD-10-CM,"Pre-existing hypertensive heart disease complicating pregnancy, third trimester"
O10119,ICD-10-CM,"Pre-existing hypertensive heart disease complicating pregnancy, unspecified trimester"
O1012,ICD-10-CM,Pre-existing hypertensive heart disease complicating childbirth
O1013,ICD-10-CM,Pre-existing hypertensive heart disease complicating the puerperium
O10211,ICD-10-CM,"Pre-existing hypertensive chronic kidney disease complicating pregnancy, first trimester"
O10212,ICD-10-CM,"Pre-existing hypertensive chronic kidney disease complicating pregnancy, second trimester"
O10213,ICD-10-CM,"Pre-existing hypertensive chronic kidney disease complicating pregnancy, third trimester"
O10219,ICD-10-CM,"Pre-existing hypertensive chronic kidney disease complicating pregnancy, unspecified trimester"
O1022,ICD-10-CM,Pre-existing hypertensive chronic kidney disease complicating childbirth
O1023,ICD-10-CM,Pre-existing hypertensive chronic kidney disease complicating the puerperium
O10311,ICD-10-CM,"Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, first trimester"
O10312,ICD-10-CM,"Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, second trimester"
O10313,ICD-10-CM,"Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, third trimester"
O10319,ICD-10-CM,"Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, unspecified trimester"
O1032,ICD-10-CM,Pre-existing hypertensive heart and chronic kidney disease complicating childbirth
O1033,ICD-10-CM,Pre-existing hypertensive heart and chronic kidney disease complicating the puerperium
O10411,ICD-10-CM,"Pre-existing secondary hypertension complicating pregnancy, first trimester"
O10412,ICD-10-CM,"Pre-existing secondary hypertension complicating pregnancy, second trimester"
O10413,ICD-10-CM,"Pre-existing secondary hypertension complicating pregnancy, third trimester"
O10419,ICD-10-CM,"Pre-existing secondary hypertension complicating pregnancy, unspecified trimester"
O1042,ICD-10-CM,Pre-existing secondary hypertension complicating childbirth
O1043,ICD-10-CM,Pre-existing secondary hypertension complicating the puerperium
O10911,ICD-10-CM,"Unspecified pre-existing hypertension complicating pregnancy, first trimester"
O10912,ICD-10-CM,"Unspecified pre-existing hypertension complicating pregnancy, second trimester"
O10913,ICD-10-CM,"Unspecified pre-existing hypertension complicating pregnancy, third trimester"
O10919,ICD-10-CM,"Unspecified pre-existing hypertension complicating pregnancy, unspecified trimester"
O1092,ICD-10-CM,Unspecified pre-existing hypertension complicating childbirth
O1093,ICD-10-CM,Unspecified pre-existing hypertension complicating the puerperium
O111,ICD-10-CM,"Pre-existing hypertension with pre-eclampsia, first trimester"
O112,ICD-10-CM,"Pre-existing hypertension with pre-eclampsia, second trimester"
O113,ICD-10-CM,"Pre-existing hypertension with pre-eclampsia, third trimester"
O114,ICD-10-CM,"Pre-existing hypertension with pre-eclampsia, complicating childbirth"
O115,ICD-10-CM,"Pre-existing hypertension with pre-eclampsia, complicating the puerperium"
O119,ICD-10-CM,"Pre-existing hypertension with pre-eclampsia, unspecified trimester"
O1200,ICD-10-CM,"Gestational edema, unspecified trimester"
O1201,ICD-10-CM,"Gestational edema, first trimester"
O1202,ICD-10-CM,"Gestational edema, second trimester"
O1203,ICD-10-CM,"Gestational edema, third trimester"
O1204,ICD-10-CM,"Gestational edema, complicating childbirth"
O1205,ICD-10-CM,"Gestational edema, complicating the puerperium"
O1210,ICD-10-CM,"Gestational proteinuria, unspecified trimester"
O1211,ICD-10-CM,"Gestational proteinuria, first trimester"
O1212,ICD-10-CM,"Gestational proteinuria, second trimester"
O1213,ICD-10-CM,"Gestational proteinuria, third trimester"
O1214,ICD-10-CM,"Gestational proteinuria, complicating childbirth"
O1215,ICD-10-CM,"Gestational proteinuria, complicating the puerperium"
O1220,ICD-10-CM,"Gestational edema with proteinuria, unspecified trimester"
O1221,ICD-10-CM,"Gestational edema with proteinuria, first trimester"
O1222,ICD-10-CM,"Gestational edema with proteinuria, second trimester"
O1223,ICD-10-CM,"Gestational edema with proteinuria, third trimester"
O1224,ICD-10-CM,"Gestational edema with proteinuria, complicating childbirth"
O1225,ICD-10-CM,"Gestational edema with proteinuria, complicating the puerperium"
O131,ICD-10-CM,"Gestational [pregnancy-induced] hypertension without significant proteinuria, first trimester"
O132,ICD-10-CM,"Gestational [pregnancy-induced] hypertension without significant proteinuria, second trimester"
O133,ICD-10-CM,"Gestational [pregnancy-induced] hypertension without significant proteinuria, third trimester"
O134,ICD-10-CM,"Gestational [pregnancy-induced] hypertension without significant proteinuria, complicating childbirth"
O135,ICD-10-CM,"Gestational [pregnancy-induced] hypertension without significant proteinuria, complicating the puerperium"
O139,ICD-10-CM,"Gestational [pregnancy-induced] hypertension without significant proteinuria, unspecified trimester"
O1400,ICD-10-CM,"Mild to moderate pre-eclampsia, unspecified trimester"
O1402,ICD-10-CM,"Mild to moderate pre-eclampsia, second trimester"
O1403,ICD-10-CM,"Mild to moderate pre-eclampsia, third trimester"
O1404,ICD-10-CM,"Mild to moderate pre-eclampsia, complicating childbirth"
O1405,ICD-10-CM,"Mild to moderate pre-eclampsia, complicating the puerperium"
O1410,ICD-10-CM,"Severe pre-eclampsia, unspecified trimester"
O1412,ICD-10-CM,"Severe pre-eclampsia, second trimester"
O1413,ICD-10-CM,"Severe pre-eclampsia, third trimester"
O1414,ICD-10-CM,Severe pre-eclampsia complicating childbirth
O1415,ICD-10-CM,"Severe pre-eclampsia, complicating the puerperium"
O1420,ICD-10-CM,"HELLP syndrome (HELLP), unspecified trimester"
O1422,ICD-10-CM,"HELLP syndrome (HELLP), second trimester"
O1423,ICD-10-CM,"HELLP syndrome (HELLP), third trimester"
O1424,ICD-10-CM,"HELLP syndrome, complicating childbirth"
O1425,ICD-10-CM,"HELLP syndrome, complicating the puerperium"
O1490,ICD-10-CM,"Unspecified pre-eclampsia, unspecified trimester"
O1492,ICD-10-CM,"Unspecified pre-eclampsia, second trimester"
O1493,ICD-10-CM,"Unspecified pre-eclampsia, third trimester"
O1494,ICD-10-CM,"Unspecified pre-eclampsia, complicating childbirth"
O1495,ICD-10-CM,"Unspecified pre-eclampsia, complicating the puerperium"
O1500,ICD-10-CM,"Eclampsia complicating pregnancy, unspecified trimester"
O1502,ICD-10-CM,"Eclampsia complicating pregnancy, second trimester"
O1503,ICD-10-CM,"Eclampsia complicating pregnancy, third trimester"
O151,ICD-10-CM,Eclampsia complicating labor
O152,ICD-10-CM,Eclampsia complicating the puerperium
O159,ICD-10-CM,"Eclampsia, unspecified as to time period"
O161,ICD-10-CM,"Unspecified maternal hypertension, first trimester"
O162,ICD-10-CM,"Unspecified maternal hypertension, second trimester"
O163,ICD-10-CM,"Unspecified maternal hypertension, third trimester"
O164,ICD-10-CM,"Unspecified maternal hypertension, complicating childbirth"
O165,ICD-10-CM,"Unspecified maternal hypertension, complicating the puerperium"
O169,ICD-10-CM,"Unspecified maternal hypertension, unspecified trimester"
O200,ICD-10-CM,Threatened abortion
O208,ICD-10-CM,Other hemorrhage in early pregnancy
O209,ICD-10-CM,"Hemorrhage in early pregnancy, unspecified"
O210,ICD-10-CM,Mild hyperemesis gravidarum
O211,ICD-10-CM,Hyperemesis gravidarum with metabolic disturbance
O212,ICD-10-CM,Late vomiting of pregnancy
O218,ICD-10-CM,Other vomiting complicating pregnancy
