Sort Order,File Type,File Type - Summary,Measure ID,Measure ID Short,Non-claims Table,Claims_cat_type,Measure Name,Data_Element,Data Dictionary,DD Number,Size,Character / Numeric,Active Indicator
19,ELG,Non-claims,MIS-1-019-19,MIS1.19,ELG00004,,% distinct MSIS IDs with only missing values in any active segment: ELIGIBLE-ADDR-EFF-DATE (ELG00004),tmsis_elgbl_cntct.elgbl_adr_efctv_dt,ELIGIBLE-ADDR-EFF-DATE,ELG075,9(8),Numeric,Y
20,ELG,Non-claims,MIS-1-020-20,MIS1.20,ELG00004,,% distinct MSIS IDs with only missing values in any active segment: ELIGIBLE-COUNTY-CODE (ELG00004),tmsis_elgbl_cntct.elgbl_cnty_cd,ELIGIBLE-COUNTY-CODE,ELG072,X(3),Character,Y
21,ELG,Non-claims,MIS-1-021-21,MIS1.21,ELG00004,,% distinct MSIS IDs with only missing values in any active segment: ELIGIBLE-ZIP-CODE (ELG00004),tmsis_elgbl_cntct.elgbl_zip_cd,ELIGIBLE-ZIP-CODE,ELG071,X(9),Character,Y
23,ELG,Non-claims,MIS-1-023-23,MIS1.23,ELG00005,,% distinct MSIS IDs with only missing values in any active segment: DUAL-ELIGIBLE-CODE (ELG00005),tmsis_elgblty_dtrmnt.dual_elgbl_cd,DUAL-ELIGIBLE-CODE,ELG085,X(2),Character,Y
24,ELG,Non-claims,MIS-1-024-24,MIS1.24,ELG00005,,% distinct MSIS IDs with only missing values in any active segment: ELIGIBILITY-DETERMINANT-EFF-DATE (ELG00005),tmsis_elgblty_dtrmnt.elgblty_dtrmnt_efctv_dt,ELIGIBILITY-DETERMINANT-EFF-DATE,ELG099,9(8),Numeric,Y
25,ELG,Non-claims,MIS-1-025-25,MIS1.25,ELG00005,,% distinct MSIS IDs with only missing values in any active segment: ELIGIBILITY-DETERMINANT-END-DATE (ELG00005),tmsis_elgblty_dtrmnt.elgblty_dtrmnt_end_dt,ELIGIBILITY-DETERMINANT-END-DATE,ELG100,9(8),Numeric,Y
26,ELG,Non-claims,MIS-1-026-26,MIS1.26,ELG00005,,% distinct MSIS IDs with only missing values in any active segment: ELIGIBILITY-GROUP (ELG00005),tmsis_elgblty_dtrmnt.elgblty_grp_cd,ELIGIBILITY-GROUP,ELG087,X(2),Character,Y
27,ELG,Non-claims,MIS-1-027-27,MIS1.27,ELG00005,,% distinct MSIS IDs with only missing values in any active segment: MAINTENANCE-ASSISTANCE-STATUS (ELG00005),tmsis_elgblty_dtrmnt.mas_cd,MAINTENANCE-ASSISTANCE-STATUS,ELG096,X(1),Character,Y
28,ELG,Non-claims,MIS-1-028-28,MIS1.28,ELG00005,,% distinct MSIS IDs with only missing values in any active segment: MEDICAID-BASIS-OF-ELIGIBILITY (ELG00005),tmsis_elgblty_dtrmnt.elgblty_mdcd_basis_cd,MEDICAID-BASIS-OF-ELIGIBILITY,ELG084,X(2),Character,Y
29,ELG,Non-claims,MIS-1-029-29,MIS1.29,ELG00005,,% distinct MSIS IDs with only missing values in any active segment: MSIS-CASE-NUM (ELG00005),tmsis_elgblty_dtrmnt.msis_case_num,MSIS-CASE-NUM,ELG083,X(12),Character,Y
31,ELG,Non-claims,MIS-1-031-31,MIS1.31,ELG00005,,% distinct MSIS IDs with only missing values in any active segment: PRIMARY-ELIGIBILITY-GROUP-IND (ELG00005),tmsis_elgblty_dtrmnt.prmry_elgblty_grp_ind,PRIMARY-ELIGIBILITY-GROUP-IND,ELG086,X(1),Character,Y
32,ELG,Non-claims,MIS-1-032-32,MIS1.32,ELG00005,,% distinct MSIS IDs with only missing values in any active segment: RESTRICTED-BENEFITS-CODE (ELG00005),tmsis_elgblty_dtrmnt.rstrctd_bnfts_cd,RESTRICTED-BENEFITS-CODE,ELG097,X(1),Character,Y
33,ELG,Non-claims,MIS-1-033-33,MIS1.33,ELG00005,,% distinct MSIS IDs with only missing values in any active segment: SSDI-IND (ELG00005),tmsis_elgblty_dtrmnt.ssdi_ind,SSDI-IND,ELG089,X(1),Character,Y
34,ELG,Non-claims,MIS-1-034-34,MIS1.34,ELG00005,,% distinct MSIS IDs with only missing values in any active segment: SSI-IND (ELG00005),tmsis_elgblty_dtrmnt.ssi_ind,SSI-IND,ELG090,X(1),Character,Y
35,ELG,Non-claims,MIS-1-035-35,MIS1.35,ELG00005,,% distinct MSIS IDs with only missing values in any active segment: SSI-STATE-SUPPLEMENT-STATUS-CODE (ELG00005),tmsis_elgblty_dtrmnt.ssi_state_splmt_stus_cd,SSI-STATE-SUPPLEMENT-STATUS-CODE,ELG091,X(3),Character,Y
36,ELG,Non-claims,MIS-1-036-36,MIS1.36,ELG00005,,% distinct MSIS IDs with only missing values in any active segment: TANF-CASH-CODE (ELG00005),tmsis_elgblty_dtrmnt.tanf_cash_cd,TANF-CASH-CODE,ELG098,X(1),Character,Y
37,ELG,Non-claims,MIS-1-037-37,MIS1.37,ELG00006,,% distinct MSIS IDs with only missing values in any active segment: HEALTH-HOME-ENTITY-NAME (ELG00006),tmsis_hh_sntrn_prtcptn_info.hh_ent_name,HEALTH-HOME-ENTITY-NAME,ELG108,X(100),Character,Y
38,ELG,Non-claims,MIS-1-038-38,MIS1.38,ELG00006,,% distinct MSIS IDs with only missing values in any active segment: HEALTH-HOME-SPA-NAME (ELG00006),tmsis_hh_sntrn_prtcptn_info.hh_sntrn_name,HEALTH-HOME-SPA-NAME,ELG107,X(100),Character,Y
39,ELG,Non-claims,MIS-1-039-39,MIS1.39,ELG00006,,% distinct MSIS IDs with only missing values in any active segment: HEALTH-HOME-SPA-PARTICIPATION-EFF-DATE (ELG00006),tmsis_hh_sntrn_prtcptn_info.hh_sntrn_prtcptn_efctv_dt,HEALTH-HOME-SPA-PARTICIPATION-EFF-DATE,ELG109,9(8),Numeric,Y
40,ELG,Non-claims,MIS-1-040-40,MIS1.40,ELG00006,,% distinct MSIS IDs with only missing values in any active segment: HEALTH-HOME-SPA-PARTICIPATION-END-DATE (ELG00006),tmsis_hh_sntrn_prtcptn_info.hh_sntrn_prtcptn_end_dt,HEALTH-HOME-SPA-PARTICIPATION-END-DATE,ELG110,9(8),Numeric,Y
42,ELG,Non-claims,MIS-1-042-42,MIS1.42,ELG00007,,% distinct MSIS IDs with only missing values in any active segment: HEALTH-HOME-ENTITY-NAME (ELG00007),tmsis_hh_sntrn_prvdr.hh_ent_name,HEALTH-HOME-ENTITY-NAME,ELG119,X(100),Character,Y
43,ELG,Non-claims,MIS-1-043-43,MIS1.43,ELG00007,,% distinct MSIS IDs with only missing values in any active segment: HEALTH-HOME-PROV-NUM (ELG00007),tmsis_hh_sntrn_prvdr.hh_prvdr_num,HEALTH-HOME-PROV-NUM,ELG120,X(30),Character,Y
44,ELG,Non-claims,MIS-1-044-44,MIS1.44,ELG00007,,% distinct MSIS IDs with only missing values in any active segment: HEALTH-HOME-SPA-NAME (ELG00007),tmsis_hh_sntrn_prvdr.hh_sntrn_name,HEALTH-HOME-SPA-NAME,ELG118,X(100),Character,Y
45,ELG,Non-claims,MIS-1-045-45,MIS1.45,ELG00007,,% distinct MSIS IDs with only missing values in any active segment: HEALTH-HOME-SPA-PROVIDER-EFF-DATE (ELG00007),tmsis_hh_sntrn_prvdr.hh_sntrn_prvdr_efctv_dt,HEALTH-HOME-SPA-PROVIDER-EFF-DATE,ELG121,9(8),Numeric,Y
47,ELG,Non-claims,MIS-1-047-47,MIS1.47,ELG00008,,% distinct MSIS IDs with only missing values in any active segment: HEALTH-HOME-CHRONIC-CONDITION (ELG00008),tmsis_hh_chrnc_cond.hh_chrnc_cd,HEALTH-HOME-CHRONIC-CONDITION,ELG130,X(1),Character,Y
48,ELG,Non-claims,MIS-1-048-48,MIS1.48,ELG00008,,% distinct MSIS IDs with only missing values in any active segment: HEALTH-HOME-CHRONIC-CONDITION-EFF-DATE (ELG00008),tmsis_hh_chrnc_cond.hh_chrnc_efctv_dt,HEALTH-HOME-CHRONIC-CONDITION-EFF-DATE,ELG132,9(8),Numeric,Y
49,ELG,Non-claims,MIS-1-049-49,MIS1.49,ELG00008,,% distinct MSIS IDs with only missing values in any active segment: HEALTH-HOME-CHRONIC-CONDITION-OTHER-EXPLANATION (ELG00008),tmsis_hh_chrnc_cond.hh_chrnc_othr_explntn_txt,HEALTH-HOME-CHRONIC-CONDITION-OTHER-EXPLANATION,ELG131,X(50),Character,Y
51,ELG,Non-claims,MIS-1-051-51,MIS1.51,ELG00009,,% distinct MSIS IDs with only missing values in any active segment: LOCKED-IN-SRVCS (ELG00009),tmsis_lckin_info.lckin_prvdr_type_cd,LOCKED-IN-SRVCS,ELG141,X(2),Character,Y
52,ELG,Non-claims,MIS-1-052-52,MIS1.52,ELG00009,,% distinct MSIS IDs with only missing values in any active segment: LOCKIN-EFF-DATE (ELG00009),tmsis_lckin_info.lckin_efctv_dt,LOCKIN-EFF-DATE,ELG142,9(8),Numeric,Y
53,ELG,Non-claims,MIS-1-053-53,MIS1.53,ELG00009,,% distinct MSIS IDs with only missing values in any active segment: LOCKIN-PROV-NUM (ELG00009),tmsis_lckin_info.lckin_prvdr_num,LOCKIN-PROV-NUM,ELG140,X(30),Character,Y
55,ELG,Non-claims,MIS-1-055-55,MIS1.55,ELG00010,,% distinct MSIS IDs with only missing values in any active segment: MFP-ENROLLMENT-EFF-DATE (ELG00010),tmsis_mfp_info.mfp_enrlmt_efctv_dt,MFP-ENROLLMENT-EFF-DATE,ELG155,9(8),Numeric,Y
56,ELG,Non-claims,MIS-1-056-56,MIS1.56,ELG00010,,% distinct MSIS IDs with only missing values in any active segment: MFP-ENROLLMENT-END-DATE (ELG00010),tmsis_mfp_info.mfp_enrlmt_end_dt,MFP-ENROLLMENT-END-DATE,ELG156,9(8),Numeric,Y
59,ELG,Non-claims,MIS-1-059-59,MIS1.59,ELG00011,,% distinct MSIS IDs with only missing values in any active segment: STATE-PLAN-OPTION-EFF-DATE (ELG00011),tmsis_state_plan_prtcptn.state_plan_optn_efctv_dt,STATE-PLAN-OPTION-EFF-DATE,ELG164,9(8),Numeric,Y
60,ELG,Non-claims,MIS-1-060-60,MIS1.60,ELG00011,,% distinct MSIS IDs with only missing values in any active segment: STATE-PLAN-OPTION-TYPE (ELG00011),tmsis_state_plan_prtcptn.state_plan_optn_type_cd,STATE-PLAN-OPTION-TYPE,ELG163,X(2),Character,Y
62,ELG,Non-claims,MIS-1-062-62,MIS1.62,ELG00012,,% distinct MSIS IDs with only missing values in any active segment: WAIVER-ENROLLMENT-EFF-DATE (ELG00012),tmsis_wvr_prtcptn_data.wvr_enrlmt_efctv_dt,WAIVER-ENROLLMENT-EFF-DATE,ELG174,9(8),Numeric,Y
63,ELG,Non-claims,MIS-1-063-63,MIS1.63,ELG00012,,% distinct MSIS IDs with only missing values in any active segment: WAIVER-ID (ELG00012),tmsis_wvr_prtcptn_data.wvr_id,WAIVER-ID,ELG172,X(20),Character,Y
64,ELG,Non-claims,MIS-1-064-64,MIS1.64,ELG00012,,% distinct MSIS IDs with only missing values in any active segment: WAIVER-TYPE (ELG00012),tmsis_wvr_prtcptn_data.wvr_type_cd,WAIVER-TYPE,ELG173,X(2),Character,Y
65,ELG,Non-claims,MIS-1-065-65,MIS1.65,ELG00013,,% distinct MSIS IDs with only missing values in any active segment: LTSS-ELIGIBILITY-EFF-DATE (ELG00013),tmsis_ltss_prtcptn_data.ltss_elgblty_efctv_dt,LTSS-ELIGIBILITY-EFF-DATE,ELG184,9(8),Numeric,Y
66,ELG,Non-claims,MIS-1-066-66,MIS1.66,ELG00013,,% distinct MSIS IDs with only missing values in any active segment: LTSS-LEVEL-CARE (ELG00013),tmsis_ltss_prtcptn_data.ltss_lvl_care_cd,LTSS-LEVEL-CARE,ELG182,X(1),Character,Y
67,ELG,Non-claims,MIS-1-067-67,MIS1.67,ELG00013,,% distinct MSIS IDs with only missing values in any active segment: LTSS-PROV-NUM (ELG00013),tmsis_ltss_prtcptn_data.ltss_prvdr_num,LTSS-PROV-NUM,ELG183,X(30),Character,Y
69,ELG,Non-claims,MIS-1-069-69,MIS1.69,ELG00014,,% distinct MSIS IDs with only missing values in any active segment: ENROLLED-MANAGED-CARE-PLAN-TYPE (ELG00014),tmsis_mc_prtcptn_data.enrld_mc_plan_type_cd,ENROLLED-MANAGED-CARE-PLAN-TYPE,ELG193,X(2),Character,Y
70,ELG,Non-claims,MIS-1-070-70,MIS1.70,ELG00014,,% distinct MSIS IDs with only missing values in any active segment: MANAGED-CARE-PLAN-ENROLLMENT-EFF-DATE (ELG00014),tmsis_mc_prtcptn_data.mc_plan_enrlmt_efctv_dt,MANAGED-CARE-PLAN-ENROLLMENT-EFF-DATE,ELG196,9(8),Numeric,Y
71,ELG,Non-claims,MIS-1-071-71,MIS1.71,ELG00014,,% distinct MSIS IDs with only missing values in any active segment: MANAGED-CARE-PLAN-ID (ELG00014),tmsis_mc_prtcptn_data.mc_plan_id,MANAGED-CARE-PLAN-ID,ELG192,X(12),Character,Y
73,ELG,Non-claims,MIS-1-073-73,MIS1.73,ELG00015,,% distinct MSIS IDs with only missing values in any active segment: ETHNICITY-CODE (ELG00015),tmsis_ethncty_info.ethncty_cd,ETHNICITY-CODE,ELG204,X(1),Character,Y
74,ELG,Non-claims,MIS-1-074-74,MIS1.74,ELG00015,,% distinct MSIS IDs with only missing values in any active segment: ETHNICITY-DECLARATION-EFF-DATE (ELG00015),tmsis_ethncty_info.ethncty_dclrtn_efctv_dt,ETHNICITY-DECLARATION-EFF-DATE,ELG205,9(8),Numeric,Y
76,ELG,Non-claims,MIS-1-076-76,MIS1.76,ELG00016,,% distinct MSIS IDs with only missing values in any active segment: AMERICAN-INDIAN-ALASKAN-NATIVE-INDICATOR (ELG00016),tmsis_race_info.crtfd_amrcn_indn_alskn_ntv_ind,AMERICAN-INDIAN-ALASKAN-NATIVE-INDICATOR,ELG215,X(1),Character,Y
78,ELG,Non-claims,MIS-1-078-78,MIS1.78,ELG00016,,% distinct MSIS IDs with only missing values in any active segment: RACE (ELG00016),tmsis_race_info.race_cd,RACE,ELG213,X(3),Character,Y
79,ELG,Non-claims,MIS-1-079-79,MIS1.79,ELG00016,,% distinct MSIS IDs with only missing values in any active segment: RACE-DECLARATION-EFF-DATE (ELG00016),tmsis_race_info.race_dclrtn_efctv_dt,RACE-DECLARATION-EFF-DATE,ELG216,9(8),Numeric,Y
80,ELG,Non-claims,MIS-1-080-80,MIS1.80,ELG00016,,% distinct MSIS IDs with only missing values in any active segment: RACE-OTHER (ELG00016),tmsis_race_info.race_othr_txt,RACE-OTHER,ELG214,X(25),Character,Y
81,ELG,Non-claims,MIS-1-081-81,MIS1.81,ELG00017,,% distinct MSIS IDs with only missing values in any active segment: DISABILITY-TYPE-CODE (ELG00017),tmsis_dsblty_info.dsblty_type_cd,DISABILITY-TYPE-CODE,ELG224,X(2),Character,Y
82,ELG,Non-claims,MIS-1-082-82,MIS1.82,ELG00017,,% distinct MSIS IDs with only missing values in any active segment: DISABILITY-TYPE-EFF-DATE (ELG00017),tmsis_dsblty_info.dsblty_type_efctv_dt,DISABILITY-TYPE-EFF-DATE,ELG225,9(8),Numeric,Y
84,ELG,Non-claims,MIS-1-084-84,MIS1.84,ELG00018,,% distinct MSIS IDs with only missing values in any active segment: 1115A-DEMONSTRATION-IND (ELG00018),tmsis_sect_1115a_demo_info.sect_1115a_demo_ind,1115A-DEMONSTRATION-IND,ELG233,X(1),Character,Y
85,ELG,Non-claims,MIS-1-085-85,MIS1.85,ELG00018,,% distinct MSIS IDs with only missing values in any active segment: 1115A-EFF-DATE (ELG00018),tmsis_sect_1115a_demo_info.sect_1115a_demo_efctv_dt,1115A-EFF-DATE,ELG234,9(8),Numeric,Y
87,ELG,Non-claims,MIS-1-087-87,MIS1.87,ELG00020,,% distinct MSIS IDs with only missing values in any active segment: HCBS-CHRONIC-CONDITION-NON-HEALTH-HOME-CODE (ELG00020),tmsis_hcbs_chrnc_cond_non_hh.ndc_uom_chrnc_non_hh_cd,HCBS-CHRONIC-CONDITION-NON-HEALTH-HOME-CODE,ELG242,X(3),Character,Y
88,ELG,Non-claims,MIS-1-088-88,MIS1.88,ELG00020,,% distinct MSIS IDs with only missing values in any active segment: HCBS-CHRONIC-CONDITION-NON-HEALTH-HOME-EFF-DATE (ELG00020),tmsis_hcbs_chrnc_cond_non_hh.ndc_uom_chrnc_non_hh_efctv_dt,HCBS-CHRONIC-CONDITION-NON-HEALTH-HOME-EFF-DATE,ELG243,9(8),Numeric,Y
90,ELG,Non-claims,MIS-1-090-90,MIS1.90,ELG00021,,% distinct MSIS IDs with only missing values in any active segment: ENROLLMENT-EFF-DATE (ELG00021),tmsis_enrlmt_time_sgmt_data.enrlmt_efctv_dt,ENROLLMENT-EFF-DATE,ELG253,9(8),Numeric,Y
91,ELG,Non-claims,MIS-1-091-91,MIS1.91,ELG00021,,% distinct MSIS IDs with only missing values in any active segment: ENROLLMENT-END-DATE (ELG00021),tmsis_enrlmt_time_sgmt_data.enrlmt_end_dt,ENROLLMENT-END-DATE,ELG254,9(8),Numeric,Y
92,ELG,Non-claims,MIS-1-092-92,MIS1.92,ELG00021,,% distinct MSIS IDs with only missing values in any active segment: ENROLLMENT-TYPE (ELG00021),tmsis_enrlmt_time_sgmt_data.enrlmt_type_cd,ENROLLMENT-TYPE,ELG252,X(1),Character,Y
94,IP,Claims,MIS-2-001-1,MIS2.1,,AA,% missing: ADJUDICATION-DATE (CIP00002),tmsis_clh_rec_ip.adjdctn_dt,ADJUDICATION-DATE,CIP098,9(8),Numeric,N
96,IP,Claims,MIS-2-003-3,MIS2.3,,AA,% missing: ADMISSION-DATE (CIP00002),tmsis_clh_rec_ip.admsn_dt,ADMISSION-DATE,CIP094,9(8),Numeric,Y
97,IP,Claims,MIS-2-004-4,MIS2.4,,AA,% missing: ADMISSION-TYPE (CIP00002),tmsis_clh_rec_ip.admsn_type_cd,ADMISSION-TYPE,CIP028,X(1),Character,Y
98,IP,Claims,MIS-2-005-5,MIS2.5,,AA,% missing: BENEFICIARY-COINSURANCE-AMOUNT (CIP00002),tmsis_clh_rec_ip.bene_coinsrnc_amt,BENEFICIARY-COINSURANCE-AMOUNT,CIP206,S9(11)V99,Numeric,Y
99,IP,Claims,MIS-2-006-6,MIS2.6,,AA,% missing: BENEFICIARY-COPAYMENT-AMOUNT (CIP00002),tmsis_clh_rec_ip.bene_copmt_amt,BENEFICIARY-COPAYMENT-AMOUNT,CIP208,S9(11)V99,Numeric,Y
100,IP,Claims,MIS-2-007-7,MIS2.7,,AA,% missing: BENEFICIARY-DEDUCTIBLE-AMOUNT (CIP00002),tmsis_clh_rec_ip.bene_ddctbl_amt,BENEFICIARY-DEDUCTIBLE-AMOUNT,CIP210,S9(11)V99,Numeric,Y
101,IP,Claims,MIS-2-008-8,MIS2.8,,AA,% missing: BILLING-PROV-NPI-NUM (CIP00002),tmsis_clh_rec_ip.blg_prvdr_npi_num,BILLING-PROV-NPI-NUM,CIP180,X(10),Character,Y
102,IP,Claims,MIS-2-009-9,MIS2.9,,AA,% missing: BILLING-PROV-NUM (CIP00002),tmsis_clh_rec_ip.blg_prvdr_num,BILLING-PROV-NUM,CIP179,X(30),Character,Y
103,IP,Claims,MIS-2-010-10,MIS2.10,,AA,% missing: BILLING-PROV-TYPE (CIP00002),tmsis_clh_rec_ip.blg_prvdr_type_cd,BILLING-PROV-TYPE,CIP182,X(2),Character,Y
104,IP,Claims,MIS-2-011-11,MIS2.11,,AA,% missing: CLAIM-LINE-COUNT (CIP00002),tmsis_clh_rec_ip.cll_cnt,CLAIM-LINE-COUNT,CIP137,9(4),Numeric,Y
105,IP,Claims,MIS-2-012-12,MIS2.12,,AA,% missing: CROSSOVER-INDICATOR (CIP00002),tmsis_clh_rec_ip.xovr_ind,CROSSOVER-INDICATOR,CIP023,X(1),Character,Y
106,IP,Claims,MIS-2-013-13,MIS2.13,,AA,% missing: DIAGNOSIS-CODE-1 (CIP00002),tmsis_clh_rec_ip.dgns_1_cd,DIAGNOSIS-CODE-1,CIP032,X(7),Character,Y
107,IP,Claims,MIS-2-014-14,MIS2.14,,AA,% missing: DIAGNOSIS-CODE-10 (CIP00002),tmsis_clh_rec_ip.dgns_10_cd,DIAGNOSIS-CODE-10,CIP059,X(7),Character,Y
108,IP,Claims,MIS-2-015-15,MIS2.15,,AA,% missing: DIAGNOSIS-CODE-11 (CIP00002),tmsis_clh_rec_ip.dgns_11_cd,DIAGNOSIS-CODE-11,CIP062,X(7),Character,Y
109,IP,Claims,MIS-2-016-16,MIS2.16,,AA,% missing: DIAGNOSIS-CODE-12 (CIP00002),tmsis_clh_rec_ip.dgns_12_cd,DIAGNOSIS-CODE-12,CIP065,X(7),Character,Y
110,IP,Claims,MIS-2-017-17,MIS2.17,,AA,% missing: DIAGNOSIS-CODE-2 (CIP00002),tmsis_clh_rec_ip.dgns_2_cd,DIAGNOSIS-CODE-2,CIP035,X(7),Character,Y
111,IP,Claims,MIS-2-018-18,MIS2.18,,AA,% missing: DIAGNOSIS-CODE-3 (CIP00002),tmsis_clh_rec_ip.dgns_3_cd,DIAGNOSIS-CODE-3,CIP038,X(7),Character,Y
112,IP,Claims,MIS-2-019-19,MIS2.19,,AA,% missing: DIAGNOSIS-CODE-4 (CIP00002),tmsis_clh_rec_ip.dgns_4_cd,DIAGNOSIS-CODE-4,CIP041,X(7),Character,Y
113,IP,Claims,MIS-2-020-20,MIS2.20,,AA,% missing: DIAGNOSIS-CODE-5 (CIP00002),tmsis_clh_rec_ip.dgns_5_cd,DIAGNOSIS-CODE-5,CIP044,X(7),Character,Y
114,IP,Claims,MIS-2-021-21,MIS2.21,,AA,% missing: DIAGNOSIS-CODE-6 (CIP00002),tmsis_clh_rec_ip.dgns_6_cd,DIAGNOSIS-CODE-6,CIP047,X(7),Character,Y
115,IP,Claims,MIS-2-022-22,MIS2.22,,AA,% missing: DIAGNOSIS-CODE-7 (CIP00002),tmsis_clh_rec_ip.dgns_7_cd,DIAGNOSIS-CODE-7,CIP050,X(7),Character,Y
116,IP,Claims,MIS-2-023-23,MIS2.23,,AA,% missing: DIAGNOSIS-CODE-8 (CIP00002),tmsis_clh_rec_ip.dgns_8_cd,DIAGNOSIS-CODE-8,CIP053,X(7),Character,Y
117,IP,Claims,MIS-2-024-24,MIS2.24,,AA,% missing: DIAGNOSIS-CODE-9 (CIP00002),tmsis_clh_rec_ip.dgns_9_cd,DIAGNOSIS-CODE-9,CIP056,X(7),Character,Y
118,IP,Claims,MIS-2-025-25,MIS2.25,,AA,% missing: DIAGNOSIS-POA-FLAG-1 (CIP00002),tmsis_clh_rec_ip.dgns_poa_1_cd_ind,DIAGNOSIS-POA-FLAG-1,CIP034,X(1),Character,Y
119,IP,Claims,MIS-2-026-26,MIS2.26,,AA,% missing: DISCHARGE-DATE (CIP00002),tmsis_clh_rec_ip.dschrg_dt,DISCHARGE-DATE,CIP096,9(8),Numeric,Y
120,IP,Claims,MIS-2-027-27,MIS2.27,,AA,% missing: FIXED-PAYMENT-IND (CIP00002),tmsis_clh_rec_ip.fixd_pymt_ind,FIXED-PAYMENT-IND,CIP125,X(1),Character,Y
