Variable,Code,Description
elgblty_grp_cd,66,Children Eligible for Dental Only Supplemental Coverage
elgblty_grp_cd,67,Targeted Low-Income Pregnant Women
elgblty_grp_cd,68,Pregnant Women with Access to Public Employee Coverage
elgblty_grp_cd,69,Individuals with Mental Health Conditions (expansion group)
elgblty_grp_cd,70,Family Planning Participants (expansion group)
elgblty_grp_cd,71,Other expansion group
enrld_mc_plan_type_cd,00,"Not applicable, individual is eligible for Medicaid or CHIP but not enrolled in a managed care plan "
enrld_mc_plan_type_cd,01,Individual is enrolled in a Comprehensive MCO
enrld_mc_plan_type_cd,02,Individual is enrolled in a Traditional PCCM Provider arrangement
enrld_mc_plan_type_cd,03,Individual is enrolled in an Enhanced PCCM Provider arrangement
enrld_mc_plan_type_cd,04,Individual is enrolled in a HIO
enrld_mc_plan_type_cd,05,Individual is enrolled in a Medical-only PIHP (risk or non-risk/non-comprehensive/with inpatient hospital or institutional services)
enrld_mc_plan_type_cd,06,Individual is enrolled in a Medical-only PAHP (risk or non-risk/non-comprehensive/no inpatient hospital or institutional services) 
enrld_mc_plan_type_cd,07,Individual is enrolled a Long Term Care (LTC) PIHP
enrld_mc_plan_type_cd,08,Individual is enrolled a Mental Health (MH) PIHP
enrld_mc_plan_type_cd,09,Individual is enrolled in a Mental Health (MH) PAHP
enrld_mc_plan_type_cd,10,Individual is enrolled in a Substance Use Disorders (SUD) PIHP
enrld_mc_plan_type_cd,11,Individual is enrolled in a Substance Use Disorders (SUD) PAHP
enrld_mc_plan_type_cd,12,Individual is enrolled in a Mental Health (MH) and Substance Use Disorders (SUD) PIHP
enrld_mc_plan_type_cd,13,Individual is enrolled in a Mental Health (MH) and Substance Use Disorders (SUD) PAHP
enrld_mc_plan_type_cd,14,Individual is enrolled in a Dental PAHP
enrld_mc_plan_type_cd,15,Individual is enrolled in a Transportation PAHP
enrld_mc_plan_type_cd,16,Individual is enrolled in a Disease Management PAHP
enrld_mc_plan_type_cd,17,Individual is enrolled in Program for All-Inclusive Care for the Elderly (PACE)
enrld_mc_plan_type_cd,18,Pharmacy PAHP
enrld_mc_plan_type_cd,60,Accountable Care Organization
enrld_mc_plan_type_cd,70,Health/Medical Home
enrld_mc_plan_type_cd,80,Integrated Care For Dual Eligibles
enrld_mc_plan_type_cd,99,Individual’s managed care plan status is unknown
race_cd,001,White
race_cd,002,Black or African American
race_cd,003,American Indian or Alaskan Native
race_cd,004,Asian Indian
race_cd,005,Chinese
race_cd,006,Filipino
race_cd,007,Japanese
race_cd,008,Korean
race_cd,009,Vietnamese
race_cd,010,Other Asian
race_cd,011,Asian Unknown
race_cd,012,Native Hawaiian
race_cd,013,Guamanian or Chamorro
race_cd,014,Samoan
race_cd,015,Other Pacific Islander
race_cd,016,Native Hawaiian or Other Pacific Islander Unknown
race_cd,017,Unspecified
race_cd,999,Unknown  
ethncty_cd,00,"Not of Hispanic or, Latino/a, or Spanish origin"
ethncty_cd,01,"Mexican, Mexican American, Chicano/a"
ethncty_cd,02,Puerto Rican
ethncty_cd,03,Cuban
ethncty_cd,04,"Another Hispanic, Latino, or Spanish origin"
ethncty_cd,05,Hispanic or Latino Unknown
ethncty_cd,06,Ethnicity Unspecified
ethncty_cd,09,Ethnicity Unknown
imgrtn_stus_cd,1,Qualified non-citizen
imgrtn_stus_cd,2,Lawfully present under CHIPRA 214
imgrtn_stus_cd,3,Eligible only for payment for emergency services
imgrtn_stus_cd,8,Not Applicable (U.S. citizen)
imgrtn_stus_cd,9,Unknown
enrlmt_type_cd,1,Medicaid
enrlmt_type_cd,2,CHIP
enrlmt_type_cd,9,Unknown
mc_plan_type_cd,01,Comprehensive MCO
mc_plan_type_cd,02,Traditional PCCM Provider
mc_plan_type_cd,03,Enhanced PCCM Provider
mc_plan_type_cd,04,HIO
mc_plan_type_cd,05,Medical-only PIHP (risk or non-risk/non-comprehensive/with inpatient hospital or   institutional services)
mc_plan_type_cd,06,Medical-only PAHP (risk or non-risk/non-comprehensive/no inpatient hospital or institutional services)
mc_plan_type_cd,07,Long Term Care (LTC) PIHP
mc_plan_type_cd,08,Mental Health (MH) PIHP
mc_plan_type_cd,09,Mental Health (MH) PAHP
mc_plan_type_cd,10,Substance Use Disorders (SUD) PIHP
mc_plan_type_cd,11,Substance Use Disorders (SUD) PAHP
mc_plan_type_cd,12,Mental Health (MH) and Substance Use Disorders (SUD) PIHP
mc_plan_type_cd,13,Mental Health (MH) and Substance Use Disorders (SUD) PAHP
mc_plan_type_cd,14,Dental PAHP
mc_plan_type_cd,15,Transportation PAHP
mc_plan_type_cd,16,Disease Management PAHP
mc_plan_type_cd,17,PACE
mc_plan_type_cd,18,Pharmacy PAHP
mc_plan_type_cd,99,Unknown
mc_plan_type_cd,60,Accountable Care Organization
mc_plan_type_cd,70,Health/Medical Home
mc_plan_type_cd,80,Integrated Care For Dual Eligibles
oprtg_authrty_cd,01,"1115 demonstration waiver program – demonstration projects under which most provisions of Section 1902 of the Social Security Act are waived and/or expenditures that would not otherwise be eligible for FFP are authorized. States use these to expand eligibility, restructure Medicaid coverage and secure programmatic flexibility. "
oprtg_authrty_cd,02,1915(b) waiver program –  waivers of most provisions of Section 1902 of the Social Security Act in order to limit beneficiaries’ freedom of choice of provider; selectively contract with providers; or provide additional services to beneficiaries (State may include BBA special populations)
oprtg_authrty_cd,03,1932(a) state plan option to use managed care for MCO and PCCM programs – mandatory managed care programs implemented through the state plan (State must exclude or permit voluntary enrollment of specific  populations)
oprtg_authrty_cd,04,1915(a) voluntary managed care program – an MCO managed care program in which enrollment is voluntary and therefore does not require a waiver.
oprtg_authrty_cd,05,"Concurrent 1915(b)/1915(c) waivers– programs, or portions thereof, operating under both 1915(b) managed care and 1915(c) home and community-based services waivers."
oprtg_authrty_cd,06,"Concurrent 1915(a)/1915(c) waivers– programs, or portions thereof, operating under both 1915(a) voluntary managed care and 1915(c) home and community-based services waiver"
oprtg_authrty_cd,07,"Concurrent 1932(a)/1915(c) waivers - programs, or portions thereof, operating under both 1932(a) managed care and 1915(c) home and community-based services waiver."
oprtg_authrty_cd,08,"PACE – program that provides pre-paid, capitated comprehensive, health care services to the frail elderly."
oprtg_authrty_cd,09,1905(t) voluntary PCCM program – A PCCM managed care program in which enrollment is voluntary and therefore does not require a waiver.
oprtg_authrty_cd,10,1937benchmark benefit program—programs to provide benefits that differ from Medicaid state plan benefits using managed care and implemented through the state plan.
oprtg_authrty_cd,11,"1902(a)(70) non-emergency medical transportation program –non-emergency medical transportation brokerage programs implemented through the state plan which can vary scope of services, operate on a less-than-statewide basis, and limit freedom of choice"
oprtg_authrty_cd,12,Concurrent 1915(b)/1915(i) HCBS state plan services - the optional 1915(i) state plan Home and Community-Based Services (HCBS) benefit operated in conjunction with a 1915(b) managed care waiver program.
oprtg_authrty_cd,13,Concurrent 1915(a)/ 1915(i) HCBS state plan services - the optional 1915(i) state plan Home and Community-Based Services (HCBS) benefit operated in conjunction with a 1915(a) voluntary managed care program.
oprtg_authrty_cd,14,Concurrent 1932(a)/ 1915(i) HCBS state plan services - the optional 1915(i) state plan Home and Community-Based Services (HCBS) benefit operated in conjunction with a 1932(a) managed care state plan option.
oprtg_authrty_cd,15,1945 Health Homes.
cvrg_type_cd,01,Drug
cvrg_type_cd,02,Professional (Physician) Visit - Office
cvrg_type_cd,03,Dental Care
cvrg_type_cd,04,Inpatient Hospital
cvrg_type_cd,05,Outpatient Hospital
cvrg_type_cd,06,Nursing Home
cvrg_type_cd,07,Vision
cvrg_type_cd,08,Durable Med Equip (rent)
cvrg_type_cd,09,Durable Med Equip (purchase)
cvrg_type_cd,10,Home Health
cvrg_type_cd,11,Mental health—outpatient
cvrg_type_cd,12,Mental health –inpatient
cvrg_type_cd,13,Psychiatric care- outpatient
cvrg_type_cd,14,Psychiatric care- inpatient
cvrg_type_cd,15,Rehabilitation
cvrg_type_cd,16,Cancer
cvrg_type_cd,17,Emergency Services
cvrg_type_cd,18,Chiropractic
cvrg_type_cd,19,Surgical
cvrg_type_cd,20,"Diagnostic Medical, including X-ray and Lab Services"
cvrg_type_cd,21,PT/OT/ST
cvrg_type_cd,22,Hospice
cvrg_type_cd,23,Transportation
cvrg_type_cd,98,Other
insrnc_plan_type_cd,01,Medical or comprehensive health insurance plan (e.g. HMO)
insrnc_plan_type_cd,02,Dental health insurance plan
insrnc_plan_type_cd,03,Vision health insurance plan
insrnc_plan_type_cd,04,Prenatal/delivery health insurance plan
insrnc_plan_type_cd,05,Long term care health insurance plan (Long Term PIHP)
insrnc_plan_type_cd,06,Transportation health insurance plan (Transportation PAHP)
insrnc_plan_type_cd,07,A managed care plan
insrnc_plan_type_cd,08,Disease management health insurance plan (Disease Management PAHP)
insrnc_plan_type_cd,09,PAHP (Medical only)
insrnc_plan_type_cd,10,Comprehensive health insurance and Long Term Care (hybrid)
insrnc_plan_type_cd,11,Other health insurance plan
insrnc_plan_type_cd,12,Veterans Administration health benefits
insrnc_plan_type_cd,13,Indian Health Service Program health benefits
insrnc_plan_type_cd,14,TRICARE health benefits
insrnc_plan_type_cd,15,Eligible enrolled in private LTC insurance
insrnc_plan_type_cd,16,Fee-for-Service insurance
